Taxon#,Order,Family,Genus,Species,Tb,Mean_Mass,SD_Mass,Mean_BMR,SD_BMR
263,Rodentia,Muridae,Notomys,cervinus,38.5,33.6,2.3,43.4,3.6
4424,Notoryctemorphia,Notoryctidae,Notoryctes,caurinus,30.8,34,9.6,26.2,3.7
2755,Carnivora,Canidae,Nyctereutes,procyonoides,,9800,624.5,4010.1,83.6
2272,Primates,Lorisidae,Nycticebus,coucang,35.4,812,190.6,280,43.6
2895,Chiroptera,Pteropodidae,Nyctimene,albiventer,35.9,28.8,2.4,37.3,5.8
2892,Chiroptera,Pteropodidae,Nyctimene,cyclotis,36,40.4,,64.6,
3615,Chiroptera,Vespertilionidae,Nyctophilus,geoffroyi,31.6,8,2.8,11.4,6
3620,Chiroptera,Vespertilionidae,Nyctophilus,timoriensis,33,13.6,0.4,20.4,9
2049,Lagomorpha,Ochotonidae,Ochotona,curzoniae,37.7,132,7.5,198.5,17
2050,Lagomorpha,Ochotonidae,Ochotona,dauurica,,127.7,10.3,249,47.3
2030,Lagomorpha,Ochotonidae,Ochotona,princeps,40.1,109.3,11.1,169.4,25.1
895,Rodentia,Cricetidae,Ochrotomys,nuttalli,36.4,19.2,3.1,25.5,2.2
1460,Rodentia,Octodontidae,Octodon,bridgesi,,176.1,13.9,183.3,21.1
1462,Rodentia,Octodontidae,Octodon,degus,37.6,237.5,18.4,201.3,15
1461,Rodentia,Octodontidae,Octodon,lunatus,,173.2,60.3,171.5,20.4
1672,Rodentia,Octodontidae,Octodontomys,gliroides,37.2,155.7,10.4,126.5,10.6
1469,Rodentia,Octodontidae,Octomys,mimax,36.7,118.8,18.8,115.2,13.1
2453,Artiodactyla,Cervidae,Odocoileus,virginianus,39,51190,8910,11588,157
773,Rodentia,Cricetidae,Oligoryzomys,longicaudatus,37.3,28.2,3.9,51,4.8
1162,Rodentia,Cricetidae,Ondatra,zibethicus,37.4,879.5,99.4,679.5,59.7
960,Rodentia,Cricetidae,Onychomys,torridus,,19.1,,29.6,12.9
2350,Artiodactyla,Bovidae,Oreamnos,americanus,,32000,,8960,
3,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,34,1438.5,130,683.6,103.4
4240,Tubulidentata,Orycteropodidae,Orycteropus,afer,34.5,48000,,6144,
2020,Lagomorpha,Leporidae,Oryctolagus,cuniculus,39,2264.8,321.8,1440.9,200
2309,Artiodactyla,Bovidae,Oryx,leucoryx,38.6,84100,7600,18600,1400
811,Rodentia,Cricetidae,Oryzomys,talamancae,,14.1,,34.7,
2280,Primates,Galagidae,Otolemur,crassicaudatus,36.6,946.7,64.3,410.9,36.8
2281,Primates,Galagidae,Otolemur,garnettii,,1132,257.4,558.2,206.3
482,Rodentia,Muridae,Otomys,irroratus,37.6,102.4,10.6,85.2,18.4
2324,Artiodactyla,Bovidae,Ovis,canadensis,,67331.5,7753.5,23010.8,3419.6
824,Rodentia,Cricetidae,Oxymycterus,roberti,38.3,83.5,17.7,88.5,4.8
2718,Carnivora,Phocidae,Pagophilus,groenlandicus,,150000,,29268,612
2136,Primates,Hominidae,Pan,troglodytes,,5020,914.5,1407.6,105.4
2770,Carnivora,Felidae,Panthera,leo,37.9,98000,,16954,
2772,Carnivora,Felidae,Panthera,onca,,50400,26300,11188.8,2570.4
2773,Carnivora,Felidae,Panthera,tigris,37.5,137900,,23994.6,
2081,Primates,Cercopithecidae,Papio,anubis_,37.3,9500,428,2958,249.8
2081,Primates,Cercopithecidae,Papio,papio,,6760,1060,2732.2,259.7
2081,Primates,Cercopithecidae,Papio,ursinus,37,15900,3470,5066.6,1321.8
2868,Carnivora,Viverridae,Paradoxurus,hermaphroditus,36.5,3160,354,761.6,148.5
3852,Erinaceomorpha,Erinaceidae,Paraechinus,aethiopicus,34.2,453,59,113.3,10.9
2888,Chiroptera,Pteropodidae,Paranyctimene,raptor,33.8,21.9,2.4,28,3.8
1785,Rodentia,Sciuridae,Paraxerus,cepapi,39.1,223.6,16,145.3,8.9
1790,Rodentia,Sciuridae,Paraxerus,palliatus,39.3,313.8,20.5,236.1,22.9
1791,Rodentia,Sciuridae,Paraxerus,poensis,,97,,201.1,
491,Rodentia,Muridae,Parotomys,brantsii,35.1,105.3,26,114.3,20.5
2589,Artiodactyla,Tayassuidae,Pecari,tajacu,37.5,20150,2077.6,6346.6,585.2
11,Rodentia,Pedetidae,Pedetes,capensis,35.9,2300,151.2,793.5,81.3
4441,Peramelemorphia,Peramelidae,Perameles,gunnii,35.2,837.3,,420.6,
4442,Peramelemorphia,Peramelidae,Perameles,nasuta,36.1,667.4,155.2,319.2,64.9
2270,Primates,Lorisidae,Perodicticus,potto,36.1,890.5,144.2,338.7,29.8
1373,Rodentia,Heteromyidae,Perognathus,flavus,34.6,8.3,0.9,17.3,2.2
1375,Rodentia,Heteromyidae,Perognathus,longimembris,34.7,8.6,0.6,15.9,3
1377,Rodentia,Heteromyidae,Perognathus,parvus,,19.2,2.7,28.8,6.7
908,Rodentia,Cricetidae,Peromyscus,boylii,,23.2,2.2,54.3,7
910,Rodentia,Cricetidae,Peromyscus,californicus,36.4,47.6,5.5,53.2,7.6
912,Rodentia,Cricetidae,Peromyscus,crinitus,35.7,17.9,2.5,27.1,3.8
915,Rodentia,Cricitidae,Peromyscus,eremicus,36.6,20.3,1,30.9,4.8
918,Rodentia,Cricetidae,Peromyscus,gossypinus,37.5,21.5,4.7,37,8.4
941,Rodentia,Cricetidae,Peromyscus,keeni,36.2,26.5,3.6,45.1,
926,Rodentia,Cricetidae,Peromyscus,leucopus,36.7,22.4,2.1,109.5,0.8
929,Rodentia,Cricetidae,Peromyscus,maniculatus,36.6,20.1,1.7,39.2,6.4
931,Rodentia,Cricetidae,Peromyscus,megalops,37.8,66.2,10.4,90.7,6.6
944,Rodentia,Cricetidae,Peromyscus,polionotus,,12,1.9,21.5,5.2
954,Rodentia,Cricetidae,Peromyscus,truei,36.7,33.2,3,56,6.7
3093,Chiroptera,Emballonuridae,Peropteryx,macrotis,34.4,5.3,1.1,12.2,2.3
4267,Diprotodontia,Pseudocheiridae,Petauroides,volans,35.4,1030.7,101.1,452,32.1
4263,Diprotodontia,Petauridae,Petaurus,breviceps,35.9,126.1,19.1,87.1,11
4236,Macroscelidea,Macroscelididae,Petrodromus,tetradactylus,37.5,206.8,15.8,170.1,10.6
1321,Rodentia,Nesomyidae,Petromyscus,collinus,,20.4,,20.6,
4280,Diprotodontia,Phalangeridae,Phalanger,carmelitae,,1381,,515.1,
4287,Diprotodontia,Phalangeridae,Phalanger,gymnotis,,953.6,,286.1,
4282,Diprotodontia,Phalangeridae,Phalanger,intercastellanus,,1648.8,,646.3,
4283,Diprotodontia,Phalangeridae,Phalanger,sericeus,,1329,,408,
4376,Dasyuromorphia,Dasyuridae,Phascogale,tapoatafa,37.4,157,25.3,126.1,6
4361,Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,35.8,4180,627,884.6,73.1
1061,Rodentia,Cricetidae,Phenacomys,intermedius,37.9,21.5,1.8,67.3,5.8
4460,Didelphimorphia,Didelphidae,Philander,opossum,35.8,751,,338,91.6
2389,Artiodactyla,Bovidae,Philantomba,monticola,36.1,4400,682.5,1892,88
2715,Carnivora,Phocidae,Phoca,vitulina,34.6,32485.7,,13635.4,
2493,Cetacea,Phocoenidae,Phocoena,phocoena,,28500,3535.5,19350,1484.9
1021,Rodentia,Cricetidae,Phodopus,campbelli,35.7,27.7,5.5,49.1,13.5
1022,Rodentia,Cricetidae,Phodopus,roborovskii,,15.4,2.9,45.9,10
1023,Rodentia,Cricetidae,Phodopus,sungorus,36.5,32.5,5.6,46.4,7.5
3299,Chiroptera,Phyllostomidae,Phyllostomus,discolor,,33.5,,47.2 _,7.7
3300,Chiroptera,Phyllostomidae,Phyllostomus,elongatus,,35.6,,46.3 _,
3301,Chiroptera,Phyllostomidae,Phyllostomus,hastatus,34.7,84.2,,107.8 _,19.4
674,Rodentia,Cricetidae,Phyllotis,darwini,36.2,55.8,7.4,66.4,8.1
678,Rodentia,Cricetidae,Phyllotis,magister,,62.8,16.8,72.2,10
682,Rodentia,Cricetidae,Phyllotis,xanthopygus,37.3,55.5,11.2,56.6,10
4418,Dasyuromorphia,Dasyuridae,Planigale,gilesi,35.1,9.1,1.3,12.8,1.5
4422,Dasyuromorphia,Dasyuridae,Planigale,maculata,34.5,12.2,1.1,10.7,2.8
4421,Dasyuromorphia,Dasyuridae,Planigale,tenuirostris_,34.5,6.4,1.5,11,1.7
3403,Chiroptera,Phyllostomidae,Platyrrhinus,lineatus,36.4,22.1,,31.3 _,4.8
3631,Chiroptera,Vespertilionidae,Plecotus,auritus,,14,1.5,14.1,4.3
901,Rodentia,Cricetidae,Podomys,floridanus,,30.8,9.1,51.7,16.6
2137,Primates,Hominidae,Pongo,pygmaeus,,4970,46,1514.3,13.2
4356,Diprotodontia,Potoroidae,Potorous,tridactylus,35.9,1068.6,142.4,553.7,54.2
2694,Carnivora,Procyonidae,Potos,flavus,36.1,2406,283.2,803.7,88.2
4173,Cingulata,Dasypodidae,Priodontes,maximus,33.6,45190,,3027.7,
4250,Hyracoidea,Procaviidae,Procavia,capensis,37,2426.3,290.8,890.2,73.8
2680,Carnivora,Procyonidae,Procyon,lotor,38,5385,521,2083.3,242.3
1574,Rodentia,Echimyidae,Proechimys,semispinosus,37.9,367.7,161.5,286.1,10.5
2248,Primates,Indridae,Propithecus,verreauxi,,3000,547.7,729.7,187.4
2809,Carnivora,Hyaenidae,Proteles,cristata,36.4,7928.2,700,2013.5,333.5
1772,Rodentia,Sciuridae,Protoxerus,stangeri,,691,,589.2,
4390,Dasyuromorphia,Dasyuridae,Pseudantechinus,macdonnellensis,34.2,43.2,7.2,26.5,6.5
4278,Diprotodontia,Pseudocheiridae,Pseudocheirus,peregrinus,37.4,840,50,399.2,91.6
277,Rodentia,Muridae,Pseudomys,gracilicaudatus,36.8,79.8,6.9,83.8,4
278,Rodentia,Muridae,Pseudomys,hermannsburgensis,37.8,12.2,0.8,23.3,3.4
3261,Chiroptera,Mormoopidae,Pteronotus,davyi,38.8,9.4,0.7,15.3,1.6
3260,Chiroptera,Mormoopidae,Pteronotus,parnellii,36.4,19.2,1.4,30.7,2.9
3263,Chiroptera,Mormoopidae,Pteronotus,personatus,37.5,14,1.5,23,4.3
3264,Chiroptera,Mormoopidae,Pteronotus,quadridens,31,4.9,2.6,6.1,2.3
3028,Chiroptera,Pteropodidae,Pteropus,giganteus,36.7,562.2,250.4,290.7,6.7
3001,Chiroptera,Pteropodidae,Pteropus,hypomelanus,35.7,520.8,27.8,293.6,45.4
3021,Chiroptera,Pteropodidae,Pteropus,poliocephalus,36.5,571.2,131.5,312.6,30.5
2999,Chiroptera,Pteropodidae,Pteropus,pumilus,36.1,194.2,15.6,126.4,19.2
3024,Chiroptera,Pteropodidae,Pteropus,rodricensis,36.5,254.5,37.3,134.9,18.5
3033,Chiroptera,Pteropodidae,Pteropus,scapulatus,37,362,67.8,250.9,38.4
3030,Chiroptera,Pteropodidae,Pteropus,vampyrus,36.9,1024.3,182.5,804.1,60.4
2287,Scandentia,Ptilocercidae,Ptilocercus,lowii,36.5,57.5,2.5,43.1,12.7
2804,Carnivora,Felidae,Puma,concolor,37.6,41903.3,7333.4,10419.2,1399.4
2803,Carnivora,Felidae,Puma,yagouaroundi_,38.4,6105,3170,1556.8,402.9
2456,Artiodactyla,Cervidae,Rangifer,tarandus,,85000,,29434.7,2207
2391,Artiodactyla,Bovidae,Raphicerus,campestris,39.4,9550,1150.1,3676.8,191
513,Rodentia,Muridae,Rattus,colletti,36.2,165.7,,123,
514,Rodentia,Muridae,Rattus,fuscipes,37.5,76.4,,64.2,9.8
516,Rodentia,Muridae,Rattus,lutreolus,36.7,109,,49.9,5.5
561,Rodentia,Muridae,Rattus,norvegicus,,289.5,30.5,307.5,22.5
554,Rodentia,Muridae,Rattus,rattus,,117.7,8.7,177,22.9
520,Rodentia,Muridae,Rattus,villosissimus,35.9,247.8,,145.8,
829,Rodentia,Cricetidae,Reithrodon,auritus,,78.7,14.4,76.8,12.7
978,Rodentia,Cricetidae,Reithrodontomys,megalotis,36.8,10.6,2.2,19.4,4.7
567,Rodentia,Muridae,Rhabdomys,pumilio,37,53.7,9.5,47.8,19.3
3183,Chiroptera,Hipposideridae,Rhinonicteris,aurantia,36.1,8.3,0.1,16.2,0.7
3340,Chiroptera,Phyllostomidae,Rhinophylla,pumilio,34.7,9.5,,16.2 _,3.4
2935,Chiroptera,Pteropodidae,Rousettus,amplexicaudatus,34.8,91.5,2.5,104.3,10.4
2934,Chiroptera,Pteropodidae,Rousettus,aegyptiacus,36.5,146,16.9,122.6,7.7
3084,Chiroptera,Emballonuridae,Saccopteryx,bilineata,35.5,8.2,0.5,15.3,4.5
1282,Rodentia,Nesomyidae,Saccostomus,campestris,35.3,75.2,8.6,59.8,6.4
2215,Primates,Cebidae,Saguinus,oedipus,38.8,296,65,265.5,33.7
2231,Primates,Cebidae,Saimiri,sciureus,38,950,37.1,952.8,85.1
4385,Dasyuromorphia,Dasyuridae,Sarcophilus,harrisii,35.8,6137.5,1207.5,1680.6,197.9
3836,Soricomorpha,Talpidae,Scalopus,aquaticus,36,48,,67.7,11.4
3837,Soricomorpha,Talpidae,Scapanus,latimanus,,61,,76.3,2.1
3839,Soricomorpha,Talpidae,Scapanus,orarius,,61.2,,62.4,
3838,Soricomorpha,Talpidae,Scapanus,townsendii,,130.1,34.3,106.4,17.8
ND,Rodentia,Sciuridae,Sciurus,aberti,40.7,624,,430.6,
1805,Rodentia,Sciuridae,Sciurus,carolinensis,38.7,440,86.4,369.6,48.4
1809,Rodentia,Sciuridae,Sciurus,variegatoides,,50.1,,190.7,61.6
893,Rodentia,Cricetidae,Scotinomys,teguina,37.6,15.2,2.3,43.6,9.9
894,Rodentia,Cricetidae,Scotinomys,xerampelinus,36.2,12,2.1,25.7,2.9
1186,Rodentia,Muridae,Sekeetamys,calurus,37.5,68.1,6.2,52,9.8
4223,Afrosoricida,Tenrecidae,Setifer,setosus,32.2,530,,122.4,23.1
4332,Diprotodontia,Macropodidae,Setonix,brachyurus,36.3,2510,110,796.7,179.8
26,Rodentia,Dipodidae,Sicista,betulina,,11.5,2.8,37,0.6
871,Rodentia,Cricetidae,Sigmodon,alleni,,136.5,23.9,200.3,19.3
874,Rodentia,Cricetidae,Sigmodon,fulviventer,,137.9,22.9,206.5,23.1
875,Rodentia,Cricetidae,Sigmodon,hispidus,38.1,141.3,13.2,193,24.8
877,Rodentia,Cricetidae,Sigmodon,leucotis,,128.6,15.8,186.5,5.3
879,Rodentia,Cricetidae,Sigmodon,ochrognathus,,115.1,10.9,154.2,25.6
4416,Dasyuromorphia,Dasyuridae,Sminthopsis,crassicaudata,35.2,16.9,2.3,23.4,4.5
4415,Dasyuromorphia,Dasyuridae,Sminthopsis,macroura,33.3,23.8,2.9,25,4.8
4405,Dasyuromorphia,Dasyuridae,Sminthopsis,murina,35,18.7,,75.9,2.2
4065,Soricomorpha,Soricidae,Sorex,alpinus,38.6,7.9,0.8,48.2,5.5
4072,Soricomorpha,Soricidae,Sorex,araneus,,8.2,1.1,43.1,10.2
4090,Soricomorpha,Soricidae,Sorex,cinereus,38.4,4,0.3,34.8,1.5
4071,Soricomorpha,Soricidae,Sorex,coronatus,37.6,9.1,0.8‡,51.9,2.7‡
4087,Soricomorpha,Soricidae,Sorex,minutus,38.5,3.3,0.4‡,28.4,1.7‡
4095,Soricomorpha,Soricidae,Sorex,ornatus,,5,0.7,29,10.5
4108,Soricomorpha,Soricidae,Sorex,vagrans,38,5.2,0.1,19.7,1.8
1671,Rodentia,Octodontidae,Spalacopus,cyanus,36.5,108.8,29.1,82.9,11.5
1355,Rodentia,Spalacidae,Spalax,ehrenbergi,35.5,119,15.5,101.1,16.1
1356,Rodentia,Spalacidae,Spalax,leucodon,36.3,182.2,40.7,121,8.7
1694,Rodentia,Sciuridae,Spermophilus,armatus,35.7,307,37.8,190.3,20.6
1702,Rodentia,Sciuridae,Spermophilus,beecheyi,37.6,501.6,115.8,267.9,28.9
1713,Rodentia,Sciuridae,Spermophilus,beldingi,35.5,289.8,27.4,159.4,22.6
1705,Rodentia,Sciuridae,Spermophilus,citellus,37.5,312.8,61,258.7,46.4
1700,Rodentia,Sciuridae,Spermophilus,dauricus,35.2,281,6.9,156.3,18.4
1698,Rodentia,Sciuridae,Spermophilus,franklinii,,607,162.9,400.6,36.4
1726,Rodentia,Sciuridae,Spermophilus,lateralis,36.3,182.1,35.8,229.1,52.2
1724,Rodentia,Sciuridae,Spermophilus,mexicanus,,199,32.3,278.6,28.1
1721,Rodentia,Sciuridae,Spermophilus,mohavensis,37,259,36.6,220.2,33.4
1692,Rodentia,Sciuridae,Spermophilus,parryii,37,934.7,216.7,797.6,163.9
1693,Rodentia,Sciuridae,Spermophilus,richardsonii,35.5,252.3,32.9,161.5,16
1723,Rodentia,Sciuridae,Spermophilus,saturatus,,261.2,28.9,142.6,20
1701,Rodentia,Sciuridae,Spermophilus,spilosoma,36.1,180.3,8.3,111.8,17.7
1719,Rodentia,Sciuridae,Spermophilus,tereticaudus,36.3,119.9,42.2,87.7,20.8
1718,Rodentia,Sciuridae,Spermophilus,townsendii,35.6,231,14.7,129.4,19.8
1696,Rodentia,Sciuridae,Spermophilus,tridecemlineatus,35.7,233.8,22.8,181,44.9
1690,Rodentia,Sciuridae,Spermophilus,undulatus,38,527.9,81.5,533.2,51.7
4288,Diprotodontia,Phalangeridae,Spilocuscus,maculatus,34.7,4250,501.1,1016.6,114.9
2675,Carnivora,Mephitidae,Spilogale,putorius,36.4,624,104.6,299.5,30.6
1343,Rodentia,Nesomyidae,Steatomys,pratensis,34.1,37.4,3.5,18.7,1.7
574,Rodentia,Muridae,Stochomys,longicaudatus,,84.2,19.7,121.6,16.2
3356,Chiroptera,Phyllostomidae,Sturnira,erythromos,34.4,15.9,,39.9,13
3348,Chiroptera,Phyllostomidae,Sturnira,lilium,36.4,21.9,,39.2,10.7
3354,Chiroptera,Phyllostomidae,Sturnira,tildae,,20.5,,39.9,
4038,Soricomorpha,Soricidae,Suncus,etruscus_,36,2.4,0.2,22.5,1.1
4047,Soricomorpha,Soricidae,Suncus,murinus,38.7,36.5,,67.6,
2818,Carnivora,Herpestidae,Suricata,suricatta,36.3,850,74.2,310.3,18.7
2582,Artiodactyla,Suidae,Sus,scrofa,,47500,3780,16625,1900
2962,Chiroptera,Pteropodidae,Syconycteris,australis,35.9,15.9,1.3,22.2,3.3
1984,Lagomorpha,Leporidae,Sylvilagus,audubonii,38.3,703.8,97.7,514.4,181.4
1,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,30.7,3608.3,865,585.1,91.7
1318,Rodentia,Spalacidae,Tachyoryctes,splendens,35.9,196,,181.1,20.7
3430,Chiroptera,Molossidae,Tadarida,brasiliensis,36,13.2,2.4,15.7,2.1
4163,Pilosa,Myrmecophagidae,Tamandua,mexicana,32,4210,,850.4,107.2
4162,Pilosa,Myrmecophagidae,Tamandua,tetradactyla,33.5,2968.5,,885.1,87.5
1761,Rodentia,Sciuridae,Tamias,alpinus,,39.1,1.6,57.9,3.8
1740,Rodentia,Sciuridae,Tamias,amoenus,37,57.1,3.7,93,15.9
1755,Rodentia,Sciuridae,Tamias,merriami,37,78.9,12.9,118.4,9.7
1760,Rodentia,Sciuridae,Tamias,minimus,37,46.2,3.1,66.8,10.6
1749,Rodentia,Sciuridae,Tamias,palmeri,,69.4,,113.1,
1759,Rodentia,Sciuromorpha,Tamias,speciosus,,70.7,2.4,104.6,12.7
1738,Rodentia,Sciuromorpha,Tamias,striatus,38.2,97.2,3.9,120.3,14.5
1802,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,38.7,202,7.7,320.5,32.1
4255,Diprotodontia,Tarsipedidae,Tarsipes,rostratus,36.6,10.0_,2,29,6.7
2237,Primates,Tarsiidae,Tarsius,syrichta,33.8,113.4,,76.7,31
2236,Primates,Tarsiidae,Tarsius,tarsier,,192.8,28.7,151.5,17.3
1259,Rodentia,Muridae,Tatera,indica,,86.8,3.3,75.5,5.8
2430,Artiodactyla,Bovidae,Taurotragus,oryx,,125000,26250,29895.8,1353.2
2677,Carnivora,Mustelidae,Taxidea,taxus,38,76020,4065,22806,1672.4
4222,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,33,720,252.3,236.8,30.1
343,Rodentia,Muridae,Thallomys,paedulcus,36.7,124.7,22.6,68.5,5.7
1415,Rodentia,Geomyidae,Thomomys,bottae,36,127.5,56.9,153.9,23.6
1419,Rodentia,Geomyidae,Thomomys,talpoides,36.2,99,11.3,105.8,19.5
1416,Rodentia,Geomyidae,Thomomys,townsendii,,249,,189.2,18.7
1417,Rodentia,Geomyidae,Thomomys,umbrinus,34.6,85,,72.3,
1540,Rodentia,Echimyidae,Thrichomys,apereoides,37.6,323,,206.7,5.8
4479,Didelphimorphia,Didelphidae,Thylamys,elegans,,31.1,2.9,20.1,2.2
4174,Cingulata,Dasypodidae,Tolypeutes,matacus,33,1160,,210,54.4
3289,Chiroptera,Phyllostomidae,Tonatia,bidens,37,27.4,,39.2 _,14.1
2489,Artiodactyla,Tragulidae,Tragulus,javanicus,38.4,1613,178.8,892,96.8
4243,Sirenia,Trichechidae,Trichechus,manatus,,250000,113137.1,24000,8485.3
4293,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,36,1996.8,154,693.7,62
2292,Scandentia,Tupaiidae,Tupaia,belangeri,37.4,151.4,21.6,286,34.9
2295,Scandentia,Tupaiidae,Tupaia,glis,37,149.8,21,243.4,23.1
2512,Cetacea,Delphinidae,Tursiops,truncatus,,165625,22500,55441.1,3814.7
1468,Rodentia,Octodontidae,Tympanoctomys,barrerae,35.7,71.4,27.7,76.8,17.6
3394,Chiroptera,Phyllostomidae,Uroderma,bilobatum,35.1,16.2,,26.6,7.3
2289,Scandentia,Tupaiidae,Urogale,everetti,,264,37.8,227,27.9
250,Rodentia,Muridae,Uromys,caudimaculatus,34.6,819,,570.6,
3393,Chiroptera,Phyllostomidae,Vampyressa,nymphaea,33.8,10.5_ _,,21.9 _,4.2
3390,Chiroptera,Phyllostomidae,Vampyressa,pusilla,,8.8,,18.6,
2762,Carnivora,Canidae,Vulpes,cana,,1285,52,630.3,66.9
2760,Carnivora,Canidae,Vulpes,lagopus,38.6,3932.9,524.2,1799.6,151.3
2761,Carnivora,Canidae,Vulpes,macrotis,38,1813.6,185.5,1175.1,172.1
2758,Carnivora,Canidae,Vulpes,rueppellii,,1545.5,193,798.9,132.8
2759,Carnivora,Canidae,Vulpes,vulpes,38.7,2965.3,396.2,1445.7,168
2763,Carnivora,Canidae,Vulpes,zerda,38.8,1160.8,40.3,538.3,16.7
1800,Rodentia,Sciuridae,Xerus,inauris,36.8,542.3,52.1,326.5,43.4
1801,Rodentia,Sciuridae,Xerus,princeps,37.6,602.3,98.1,340.3,60.2
4169,Cingulata,Dasypodidae,Zaedyus,pichiy,35.2,1740,,393.2,90.5
2,Monotremata,Tachyglossidae,Zaglossus,bruijni,30.8,12500,4120,1130.5,156.5
2709,Carnivora,Otariidae,Zalophus,californianus,,22700,848.5,8921.1,96.3
50,Rodentia,Dipodidae,Zapus,hudsonius_,37.3,24.3,2,77.2,2.2
51,Rodentia,Dipodidae,Zapus,princeps_,37.8,27.5,1.6,129.3,14
